epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.00677752494812,0.0703125,3.0197157845130334,0.05,0.0005
2,2.9788817167282104,0.0546875,3.0204787158966067,0.047115384615384615,0.0005
3,2.9456417560577393,0.08984375,3.0216365007253794,0.04846153846153846,0.0005
4,2.930729329586029,0.0703125,3.0235006567148064,0.04865384615384615,0.0005
5,2.88457453250885,0.11328125,3.025936168523935,0.04865384615384615,0.0005
6,2.861903727054596,0.11328125,3.0292834171882044,0.04807692307692308,0.0005
7,2.848698318004608,0.109375,3.033469996819129,0.04692307692307692,0.0005
8,2.7999573349952698,0.125,3.038414637492253,0.04788461538461539,0.0005
9,2.7737541794776917,0.15234375,3.044418040055495,0.04692307692307692,0.0005
10,2.763228178024292,0.17578125,3.051146709735577,0.04846153846153846,0.0005
11,2.7349971532821655,0.16796875,3.058200285251324,0.046538461538461535,0.0005
12,2.718480885028839,0.16015625,3.066752039836003,0.045384615384615384,0.0005
13,2.700443685054779,0.1640625,3.0752243760915903,0.04596153846153846,0.0005
14,2.6587144136428833,0.17578125,3.084485578536987,0.0475,0.0005
15,2.6459468603134155,0.20703125,3.0937000171954816,0.04788461538461539,0.0005
16,2.6220999360084534,0.21484375,3.104336513372568,0.04807692307692308,0.0005
17,2.5987956523895264,0.203125,3.1151337088071385,0.04730769230769231,0.0005
18,2.545932412147522,0.23828125,3.126794800391564,0.04865384615384615,0.0005
19,2.5260239839553833,0.24609375,3.139757671356201,0.048846153846153845,0.0005
20,2.516302525997162,0.234375,3.154056704594539,0.04961538461538462,0.0005
21,2.4703747034072876,0.28125,3.168456624838022,0.05038461538461538,0.0005
22,2.4535120725631714,0.26953125,3.1855796608558067,0.05153846153846154,0.0005
23,2.418003022670746,0.26953125,3.200177637246939,0.050576923076923075,0.0005
24,2.3724517822265625,0.3046875,3.216722701879648,0.050576923076923075,0.0005
25,2.351539373397827,0.296875,3.235736366418692,0.05,0.0005
26,2.3300862908363342,0.30859375,3.256869172316331,0.04923076923076923,0.0005
27,2.2967142462730408,0.33203125,3.2787963016216572,0.049423076923076924,0.0005
28,2.267614245414734,0.33984375,3.301673927307129,0.05096153846153846,0.0005
29,2.2081558108329773,0.3515625,3.316551075715285,0.04846153846153846,0.0005
30,2.1788200736045837,0.3203125,3.334697334582989,0.048846153846153845,0.0005
