epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.0158461076785357,0.05134615384615385,2.991095250203059,0.05846153846153846,0.0005
2,2.986308977909577,0.06935897435897435,2.9809828208043023,0.06096153846153846,0.000498657864365227
3,2.9695083442101113,0.07628205128205129,2.9707556225703313,0.07038461538461538,0.0004946461621797824
4,2.9505777190281797,0.08365384615384615,2.9611046402270977,0.07480769230769231,0.0004880088464923126
5,2.935211341075408,0.08967948717948718,2.948461525256817,0.0876923076923077,0.0004788186371224371
6,2.920816273811536,0.09705128205128205,2.9639624940432037,0.08173076923076923,0.0004671762239271875
7,2.90309663381332,0.10128205128205128,2.949492956308218,0.08730769230769231,0.0004532091636218621
8,2.8893157264513847,0.10192307692307692,2.9499158558478724,0.08961538461538461,0.00043707048224196155
9,2.8790595157329855,0.11012820512820513,2.951671669299786,0.09211538461538461,0.00041893699855792023
10,2.864815788758107,0.11775641025641026,2.9543999319810132,0.09076923076923077,0.0003990073868116559
11,2.8527614263387826,0.1232051282051282,2.9569910225501426,0.08557692307692308,0.00037749999999999996
12,2.843636707892785,0.1269871794871795,2.955948066711426,0.08634615384615385,0.00035465047755357104
13,2.830595421424279,0.12993589743589742,2.968287790738619,0.08615384615384615,0.0003307091636218621
14,2.8219284857236424,0.13448717948717948,2.976405003621028,0.08730769230769231,0.000305938364250351
15,2.809082817909045,0.1357051282051282,2.973917754980234,0.08826923076923077,0.0002806094735005751
16,2.800490079537416,0.13974358974358975,2.976810888143686,0.0876923076923077,0.000255
17,2.793832156352508,0.14583333333333334,2.9797159334329457,0.0901923076923077,0.00022939052649942487
18,2.779281130081568,0.1478205128205128,2.990844588646522,0.09211538461538461,0.00020406163574964887
19,2.7733889604226136,0.1514102564102564,2.991756957861093,0.08634615384615385,0.00017929083637813784
20,2.766125604922955,0.155,2.99706364264855,0.0901923076923077,0.00015534952244642894
21,2.7577256574386206,0.1575,2.9913647189507118,0.09365384615384616,0.0001325
22,2.7480172049693574,0.16032051282051282,2.999813660108126,0.09192307692307693,0.00011099261318834406
23,2.742035748408391,0.16352564102564102,3.001227287879357,0.09,9.106300144207978e-05
24,2.743686411441901,0.1635897435897436,3.0044366440406214,0.08807692307692308,7.292951775803843e-05
25,2.733853033995017,0.16698717948717948,3.0019888555086576,0.08730769230769231,5.679083637813788e-05
26,2.731301971337734,0.16397435897435897,3.0015128795917216,0.08692307692307692,4.28237760728125e-05
27,2.727979436532045,0.1671794871794872,3.0094010485135594,0.08942307692307692,3.118136287756275e-05
28,2.7256101984855454,0.16794871794871793,3.006891877101018,0.08903846153846154,2.1991153507687376e-05
29,2.7233361574319694,0.16589743589743589,3.0062012041532076,0.08942307692307692,1.5353837820217602e-05
30,2.7248469100854336,0.1671153846153846,3.0099344620337853,0.09192307692307693,1.1342135634773016e-05
