epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.9989722794752853,0.05467948717948718,2.9959227158473087,0.05076923076923077,0.001
2,2.990553725560506,0.059487179487179485,2.9968452563652623,0.058076923076923075,0.001
3,2.984326015619131,0.06512820512820512,3.0019305361234223,0.05903846153846154,0.001
4,2.9753166939662052,0.07121794871794872,3.0113241070967454,0.05903846153846154,0.001
5,2.9630169100639145,0.0733974358974359,3.0150819242917573,0.06096153846153846,0.001
6,2.954926643616114,0.07858974358974359,3.00912866298969,0.061153846153846156,0.001
7,2.9402980726193158,0.08384615384615385,3.0404444533128006,0.06,0.001
8,2.926644326479007,0.08871794871794872,3.0610313092745267,0.061153846153846156,0.001
9,2.907743446154472,0.0948076923076923,3.0985494246849647,0.05923076923076923,0.001
10,2.8918585368914482,0.09846153846153846,3.134946234042828,0.06288461538461539,0.001
11,2.870232519247593,0.10846153846153846,3.1783715952359715,0.06326923076923077,0.001
12,2.842746039904081,0.11307692307692307,3.267251793054434,0.06365384615384616,0.001
13,2.8130876303941776,0.12243589743589743,3.286211290359497,0.06692307692307692,0.001
14,2.7742661869831573,0.13737179487179488,3.3758249356196477,0.06403846153846154,0.001
15,2.731583698223799,0.1503846153846154,3.446085954079261,0.06269230769230769,0.001
16,2.6849697971343995,0.16512820512820514,3.593135084739098,0.06807692307692308,0.001
17,2.639298279346564,0.1808974358974359,3.5293612326108494,0.0625,0.001
18,2.5872021379226293,0.19641025641025642,3.8097945998265192,0.05923076923076923,0.001
19,2.5322412150945417,0.21397435897435899,3.999487312757052,0.05903846153846154,0.001
20,2.4740798434233056,0.23442307692307693,3.9928108486762413,0.058076923076923075,0.001
21,2.4183241360004133,0.24846153846153846,4.11862419128418,0.05557692307692308,0.001
22,2.3598546152848465,0.26884615384615385,4.280987322880671,0.05692307692307692,0.001
23,2.3052924415392755,0.2809615384615385,4.467615942588219,0.056346153846153844,0.001
24,2.240642837866759,0.3016025641025641,4.749034750278179,0.06019230769230769,0.001
25,2.190984730353722,0.32044871794871793,4.99422971872183,0.05692307692307692,0.001
26,2.138152670004429,0.3378846153846154,5.200707688698402,0.0575,0.001
27,2.08096528224456,0.3535897435897436,5.460708661446205,0.05846153846153846,0.001
28,2.004797957004645,0.3778205128205128,5.715152202019325,0.05903846153846154,0.001
29,1.9545525514162503,0.39243589743589746,5.87334643290593,0.05788461538461538,0.001
30,1.914483593304952,0.40192307692307694,6.197491284883939,0.059807692307692305,0.001
