epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.04412025818458,0.05173076923076923,3.040759833409236,0.05423076923076923,0.001
2,3.0219017713497847,0.05858974358974359,3.0349413167513335,0.05576923076923077,0.001
3,3.0122478866577147,0.06076923076923077,3.0390854894197905,0.054038461538461535,0.001
4,2.9997362012129565,0.06878205128205128,3.0144225274599514,0.057692307692307696,0.001
5,2.993768219336485,0.06756410256410256,3.024528471139761,0.05903846153846154,0.001
6,2.9878568013509113,0.07211538461538461,3.0230862639500544,0.06576923076923077,0.001
7,2.9836864684178277,0.07057692307692308,3.0340616637009843,0.05692307692307692,0.001
8,2.974580214329255,0.07442307692307693,3.0365629783043495,0.06346153846153846,0.001
9,2.9708848464183317,0.07506410256410256,3.0257421823648305,0.065,0.001
10,2.9632724079718957,0.08032051282051282,3.0235265761155348,0.07,0.001
11,2.9588241146772334,0.08019230769230769,3.018826192709116,0.06019230769230769,0.001
12,2.95419663918324,0.0833974358974359,3.032600056574895,0.07038461538461538,0.001
13,2.951521950990726,0.08384615384615385,3.0265624024317814,0.07211538461538461,0.001
14,2.9447570810562524,0.08743589743589744,3.032314156752366,0.06365384615384616,0.001
15,2.9409733623113388,0.08935897435897436,3.024008370912992,0.06538461538461539,0.001
16,2.9394842057350354,0.0883974358974359,3.0275001841325024,0.07461538461538461,0.001
17,2.933989645884587,0.0901923076923077,3.040989116521982,0.07403846153846154,0.001
18,2.9299572863945595,0.09423076923076923,3.0286515837449293,0.06846153846153846,0.001
19,2.9260824548281157,0.09576923076923077,3.0305384335151087,0.0675,0.001
20,2.920846319687672,0.09756410256410257,3.0353112301459677,0.07192307692307692,0.001
21,2.9213571707407633,0.09442307692307693,3.026509820497953,0.07134615384615385,0.001
22,2.9177025836553327,0.09544871794871795,3.022637265278743,0.07019230769230769,0.001
23,2.915823741815029,0.10051282051282051,3.031234670785757,0.07346153846153847,0.001
24,2.914806983409784,0.09967948717948719,3.0265995069650504,0.07076923076923076,0.001
25,2.9130003569676326,0.09814102564102564,3.031268488077017,0.06942307692307692,0.001
26,2.906393148226616,0.10282051282051283,3.032847691315871,0.07173076923076924,0.001
27,2.9067456404368084,0.09903846153846153,3.029594582044161,0.06711538461538462,0.001
28,2.903512030136891,0.10217948717948717,3.0386484505580023,0.07076923076923076,0.001
29,2.9022643913366855,0.10096153846153846,3.051010175851675,0.07384615384615385,0.001
30,2.9016944829011573,0.1032051282051282,3.030761091525738,0.07038461538461538,0.001
