epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.0401730786837065,0.05128205128205128,3.018907774411715,0.05307692307692308,0.001
2,3.0136391165317633,0.06057692307692308,3.006064673937284,0.060384615384615384,0.001
3,2.9968203278076953,0.06365384615384616,2.9990041461357704,0.06634615384615385,0.001
4,2.9825019496526473,0.06769230769230769,2.99499654843257,0.06673076923076923,0.001
5,2.9734962372902114,0.07358974358974359,2.997529113476093,0.06769230769230769,0.001
6,2.968211094049307,0.07403846153846154,2.9874834691561185,0.07403846153846154,0.001
7,2.956337234301445,0.08096153846153846,2.9881602177253135,0.07211538461538461,0.001
8,2.950526452431312,0.07884615384615384,3.0010768464895397,0.07634615384615384,0.001
9,2.9466173174442387,0.0816025641025641,2.986901530485887,0.07288461538461538,0.001
10,2.9389654519007755,0.08391025641025641,2.9794090623121994,0.07884615384615384,0.001
11,2.9344181295541616,0.08602564102564103,2.989930304013766,0.0751923076923077,0.001
12,2.9321471681350317,0.08935897435897436,2.995533194908729,0.07288461538461538,0.001
13,2.9267472712198894,0.08852564102564102,2.9841807644183818,0.07846153846153846,0.001
14,2.923518415597769,0.09256410256410257,2.971858057608971,0.08076923076923077,0.001
15,2.9157811935131366,0.09423076923076923,2.9832686849740835,0.07865384615384616,0.001
16,2.915954611362555,0.09224358974358975,2.9901771017221304,0.07653846153846154,0.001
17,2.91165942240984,0.09519230769230769,2.9871552027188812,0.07192307692307692,0.001
18,2.91025806304736,0.09442307692307693,2.9878391434596137,0.07557692307692308,0.001
19,2.903646595050127,0.09871794871794871,2.9877534969036397,0.07942307692307693,0.001
20,2.9014052053598256,0.10038461538461538,3.0015360480088455,0.07634615384615384,0.001
21,2.896649700066982,0.09923076923076923,2.990628786087036,0.07961538461538462,0.001
22,2.8991870882572273,0.09878205128205128,2.9852016382951003,0.08192307692307692,0.001
23,2.891611115871332,0.09846153846153846,2.9968881621727577,0.07673076923076923,0.001
24,2.889278931250939,0.10038461538461538,2.9863942608466516,0.085,0.001
25,2.886912061006595,0.10128205128205128,3.015369092501127,0.07769230769230769,0.001
26,2.8846332127008685,0.10628205128205129,2.9955422856257514,0.08288461538461539,0.001
27,2.882532186263647,0.10576923076923077,2.9908922481536866,0.08019230769230769,0.001
28,2.8791544129298283,0.10955128205128205,2.9880500411987305,0.0825,0.001
29,2.874709735528017,0.10717948717948718,2.997662814213679,0.07557692307692308,0.001
30,2.8732202674181035,0.10429487179487179,2.99229154586792,0.08057692307692307,0.001
