subject_id,num_samples,accuracy,num_true_classes,num_pred_classes
sub-02,2000,0.13,20,20
sub-03,2000,0.1065,20,20
sub-05,2000,0.1225,20,20
sub-09,2000,0.141,20,20
sub-14,2000,0.121,20,20
sub-15,2000,0.103,20,20
sub-17,2000,0.1305,20,20
sub-19,2000,0.138,20,20
sub-20,2000,0.156,20,20
sub-23,2000,0.111,20,20
sub-24,2000,0.1115,20,20
sub-28,2000,0.1455,20,20
sub-29,2000,0.127,20,20
